Iphone	tag	zhi_score	phone_score	guide_score	risk_level	high_orders	airport_orders	company	consume	area
4866526	0	5	7	0	1	0	0	0.411	0.438	0
4512552	0	4	3	0	1	0	4	1	0.764	0
7159907	0	6	4	0	1	0	0	0.096	0.18	1
8472148	0	3	3	0	1	2	0	0.229	0.624	0
6849889	0	5	3	0	1	0	13	1	0.63	0
8225848	0	5	3	0	1	0	0	0.392	0.3	0
8520711	0	6	4	0	1	10	3	0.965	0.641	0
4379997	0	6	3	0	1	0	0	0.966	0.134	0
4042208	0	6	3	0	1	0	3	0.385	0.371	0
7935198	0	5	6	0	1	0	8	0.122	0.27	1
2252124	0	5	3	0	1	0	1	1	0.559	0
4577771	0	3	4	0	1	0	4	0.86	0.55	0
7185575	0	2	4	0	1	0	0	0.111	0.11	0
8908764	0	4	4	0	1	0	0	0.08	0.634	0
2390060	0	6	8	0	1	0	0	1	0.334	0
4816855	0	3	4	0	1	0	0	0.755	0.309	0
5179706	0	6	4	0	1	4	0	0.815	0.245	0
6987788	0	4	3	0	1	1	0	0.963	0.641	0
9364967	0	4	3	0	1	0	0	0.538	0.8	0
3170504	0	4	9	0	1	0	0	0.224	0.626	0
1413318	0	4	4	0	1	0	0	0.942	0.408	0
4265824	0	4	7	0	1	0	0	0.394	0.739	0
9488831	0	3	4	0	1	0	16	0.062	0.487	0
8996865	0	5	2	0	1	0	1	0.372	0.535	0
6011398	0	4	2	5	1	0	0	0.563	0.541	0
2282788	0	5	3	0	1	0	0	0	0.297	0
7625121	0	4	3	0	1	0	3	0.895	0.361	0
302955	0	5	3	0	0	0	0	0.388	0.305	0
8607080	0	5	21	0	1	3	10	0.224	0.418	0
3295349	0	3	5	0	1	0	6	0.21	0.551	0
1309365	0	4	3	0	1	0	0	0.92	0.022	0
3232740	0	4	3	0	1	0	0	0.316	0.203	0
2494553	0	4	3	0	1	0	2	0.898	0.469	0
5635678	0	6	4	0	1	0	0	0.952	0.273	1
239937	0	4	3	0	1	0	1	0.903	0.684	0
8126866	0	4	7	0	1	0	0	0.178	0	0
511696	0	6	4	0	1	0	0	0.016	0.436	1
2118312	0	4	3	0	1	0	0	0.396	0.155	0
5255317	0	3	3	0	1	0	0	0.84	0.402	0
486231	0	5	4	0	1	0	0	0.168	0.154	0
3463495	0	5	3	0	1	2	1	1	0.321	0
3968559	0	3	3	0	1	0	0	0	0	0
5206125	0	3	3	0	1	0	0	0.979	0.213	0
9133857	0	4	3	0	1	0	7	0.067	0.459	0
3134052	0	5	4	0	1	0	1	0.028	0.266	0
7851248	0	2	21	0	1	0	1	0.633	0.568	0
7827087	0	6	4	0	1	2	2	1	0.869	0
5916038	0	4	3	0	1	0	5	0.549	0.698	0
4908385	0	4	10	0	1	0	10	0.291	0.413	0
5719847	0	4	3	0	1	0	0	0.354	0.674	1
4919440	0	1	6	0	1	0	0	0.444	0.417	0
1933012	0	4	2	0	1	0	0	0.78	0.065	0
1091025	0	7	2	0	1	0	10	1	0.238	1
557384	0	6	4	0	1	0	0	0.814	0.174	0
253370	0	4	4	0	1	0	0	0.884	0.215	0
5464808	0	6	7	0	1	4	27	0.938	0.925	0
2763386	0	5	3	0	1	0	0	1	0.371	0
4640142	0	3	4	0	1	0	0	0.35	0.056	0
9926772	0	3	4	0	1	0	3	0.214	0.192	0
5376916	0	4	3	0	1	0	57	0.322	0.689	0
8642744	0	5	3	0	1	0	1	0.817	0.363	0
5578135	0	5	3	0	1	0	0	0.353	0.127	0
890656	0	4	3	0	1	1	0	0.033	0.524	0
1998074	0	6	4	0	1	0	0	0.659	0.588	0
709321	0	4	3	0	1	0	0	0.628	0.278	0
7377054	0	4	3	0	0	0	16	0.458	0.956	1
6362050	0	6	5	0	1	0	1	0.473	0.606	1
2483300	0	7	3	0	1	3	0	1	0.179	0
2180685	0	6	3	0	1	7	1	0.324	0.706	0
9203454	0	3	4	0	1	0	0	0.354	0.1	0
5377401	0	3	4	0	1	0	0	0	0	1
2183120	0	4	4	0	1	0	8	0.976	0.307	0
2777248	0	5	3	0	1	0	0	0.343	0.184	0
9807807	0	4	3	0	1	0	0	1	0.306	0
2993951	0	4	3	0	1	0	0	0.765	0.422	0
8336735	0	3	4	0	1	0	0	0.225	0.344	0
9917722	0	6	3	0	1	0	0	0.446	0.019	0
4609368	0	6	3	0	1	0	0	0.955	0.529	0
6917112	0	4	7	0	1	0	0	0.124	0.329	0
4005809	0	5	4	0	1	0	0	0.982	0.773	0
1523582	0	4	2	0	0	0	2	1	0.249	1
1020769	0	4	1	0	1	0	0	0.486	0.44	0
3537855	0	6	9	0	1	3	0	1	0.143	0
1187937	0	3	56	0	1	0	0	0	0.275	0
5209949	0	3	4	5	1	0	0	0.103	0.567	0
6799635	0	1	4	5	0	0	0	0.37	0.357	0
4776949	0	4	3	0	1	0	3	0.342	0.67	0
7225078	0	6	4	0	1	0	0	0.022	0.285	0
3957171	0	5	2	0	1	0	0	0.073	0.505	0
2611951	0	4	8	0	1	0	0	1	0.545	0
2287813	0	4	2	0	1	0	0	0.872	0.262	0
2649116	0	2	4	0	1	0	0	1	0.368	0
799512	0	2	4	0	1	0	0	0	0	0
4456070	0	5	13	0	1	0	0	0.375	0.492	0
5022775	0	5	4	0	1	0	0	0.411	0.215	0
1212972	0	5	3	0	1	0	2	0.066	0.467	0
536647	0	5	5	0	1	0	3	0.775	0.639	0
71771	0	7	3	0	1	0	0	0.723	0.689	0
6728147	0	5	3	0	1	0	0	1	0.149	0
2827257	0	5	4	0	1	0	3	1	0.486	0
6938713	0	3	3	0	1	0	0	0.042	0.147	0
7399912	0	2	4	0	1	0	8	1	0.607	0
4155339	0	4	3	0	1	0	1	0.076	0.515	0
8307521	0	6	4	0	1	0	8	0.892	0.587	0
1791733	0	3	3	0	1	0	0	0.269	0.877	0
4854234	0	5	4	0	1	5	6	0.94	0.701	0
2417404	0	4	3	0	1	0	3	0.017	0.395	0
4813001	0	1	3	0	0	0	0	0.893	0.334	0
9567975	0	5	58	0	1	0	2	1	0.808	0
5281157	0	5	3	0	1	0	0	0.233	0.53	0
2983903	0	6	4	0	1	0	0	0.361	0.282	1
6147534	0	4	4	0	1	0	0	0.788	0.399	0
3123834	0	2	7	0	1	0	0	0.677	0.281	0
1625961	0	5	4	0	1	0	0	0.773	0.265	0
8105185	0	4	4	0	1	3	0	0.978	0.397	1
88790	0	4	4	0	1	0	0	0.11	0.417	0
3255425	0	4	7	0	1	0	0	0.681	0.155	1
8990644	0	4	2	0	1	0	0	0.422	0.352	0
9155610	0	5	4	0	1	2	4	0.153	0.52	0
1093519	0	4	3	0	1	0	0	0.89	0.596	0
6675859	0	5	20	0	1	0	2	0.98	0.18	0
5962645	0	6	3	0	1	0	3	1	0.116	0
7855292	0	7	24	0	1	0	1	0.943	0.482	0
436240	0	3	4	0	1	0	0	0.765	0.352	0
9155420	0	3	4	0	1	0	0	0.749	0.287	0
9597520	0	4	4	0	0	0	0	0.406	0.548	0
4045480	0	4	3	0	1	0	1	0.695	0.891	0
596714	0	3	10	0	1	0	0	0.926	0.162	0
1515302	0	4	3	0	1	0	0	0.959	0.663	0
1135255	0	3	3	0	1	0	0	1	0.139	0
3669324	0	4	3	0	1	0	0	0.331	0.422	0
2171204	0	4	3	0	1	0	0	0.057	0.241	0
5993450	0	5	3	0	1	0	2	0.492	0.22	0
2000941	0	5	3	0	1	0	0	0.952	0.284	0
4864412	0	6	4	0	1	0	0	1	0.689	0
820858	0	2	4	0	1	0	2	0.065	0.385	0
4622912	0	3	37	0	1	0	0	0.88	0.198	0
1338041	0	5	5	0	1	0	0	1	0.389	0
7947450	0	3	4	0	1	0	0	0.721	0.555	1
4914678	0	4	2	0	1	2	0	0.818	0.507	0
2900418	0	4	3	0	1	0	3	1	0.288	0
3070866	0	3	4	0	1	0	0	0.509	0.386	0
1876577	0	3	4	0	1	0	0	0.35	0.503	0
7625774	0	5	3	5	1	1	0	0.967	0.389	0
4303470	0	5	4	0	1	0	0	0.957	0.712	0
4159444	0	4	3	0	1	0	0	0.975	0.558	0
6293770	0	4	2	0	1	0	0	1	0.353	0
7325780	0	4	3	0	1	0	0	0.366	0.244	0
7338121	0	2	3	0	1	0	0	0.983	0.603	0
7816572	1	3	3	5	1	0	0	0.539	0.638	0
3846450	0	4	3	0	1	0	0	0.307	0.145	0
638675	0	3	4	0	1	0	0	0.752	0.45	0
3590684	0	5	29	0	1	0	3	0.962	0.365	0
6584141	0	4	3	0	1	0	0	0.343	0.497	0
9324367	0	4	4	0	1	0	3	0.236	0.672	0
7701335	0	4	3	0	1	0	0	0.578	0.329	0
708344	0	4	3	0	1	8	0	0.576	0.468	0
6096217	0	3	3	0	1	0	0	0.223	0	0
4016710	0	5	4	0	1	0	44	1	0.641	0
1145390	0	5	9	0	1	0	0	1	0.291	0
3525011	0	5	3	0	1	2	1	0.591	0.201	0
6203672	0	5	4	0	1	0	0	0.953	0.436	0
2272093	0	5	4	0	1	0	2	0.987	0.254	0
2110645	0	3	4	0	1	0	0	0.902	0.511	0
2758623	0	5	4	0	1	0	0	0.572	0.336	0
3189976	0	6	3	0	1	0	0	0.978	0.613	0
5147356	0	3	2	0	1	0	2	0.069	0.635	1
7134935	0	3	3	0	0	0	0	0.202	0.582	0
7864909	0	5	3	0	1	0	0	1	0.24	0
8519124	0	3	3	0	1	0	0	0.738	0.559	0
3314831	0	5	7	0	1	0	1	0.18	0.444	0
7483700	0	3	2	0	1	0	0	0.85	0.493	0
6378491	0	3	3	0	1	0	0	0.284	0.24	0
3550294	0	4	2	0	1	0	0	0.908	0.271	0
3478779	0	4	3	0	1	0	0	0.696	0.227	0
5753499	0	3	4	0	0	7	10	0.32	0.954	0
3939066	0	3	2	0	1	0	1	0.946	0.385	0
1338506	0	5	3	0	1	0	16	0.963	0.288	1
2597241	0	3	4	0	1	0	35	0.75	0.445	0
4061629	0	3	2	0	1	0	0	0.175	0.117	0
1195956	0	3	3	0	1	0	0	0.093	0.081	0
2774245	0	2	5	0	1	0	0	0.165	0.283	1
7749304	0	5	3	0	1	0	1	0.591	0.512	0
6455744	0	6	3	0	1	21	5	0.592	0.198	0
884949	0	6	3	0	0	0	6	0.915	0.92	0
3337434	0	1	3	0	0	1	0	0.397	0.354	0
6660836	0	4	8	0	1	0	0	0.9	0.212	0
9762165	0	2	3	0	0	0	0	0.148	0.288	0
6448264	0	3	4	5	1	0	3	0.813	0.54	1
4307569	0	3	4	0	1	0	0	0	0	0
3774298	0	6	3	0	1	0	0	0.98	0.869	0
305072	0	5	2	0	1	0	0	0.193	0.158	0
2448169	0	6	25	0	1	0	0	0.323	0.319	0
7888947	0	4	3	0	1	0	0	0.476	0.073	0
4141193	0	6	4	0	1	0	0	1	0.42	0
5313498	0	5	3	0	1	0	0	1	0.131	0
7112976	0	6	4	0	1	0	0	0.993	0.385	0
5977777	0	5	5	0	1	1	14	0.878	0.701	0
6053872	0	6	2	0	1	0	0	0.326	0.497	0
7242947	0	5	3	0	1	0	16	0.487	0.745	0
3894907	0	2	4	0	1	1	68	0.29	0.855	0
4005736	0	4	3	0	1	1	1	0.271	0.23	0
3802251	0	4	2	0	1	0	0	0.648	0.293	0
3109713	0	3	4	5	1	0	0	0.476	0.159	0
607775	0	4	3	0	1	3	0	0.087	0.086	1
7662077	0	4	3	0	1	1	3	0.595	0.296	1
9023375	0	5	7	0	1	0	0	0.152	0.315	1
699721	0	6	3	0	1	0	0	0.144	0.037	0
72799	0	4	4	0	0	2	0	0.313	0.872	0
5281933	0	3	12	0	1	0	0	0.445	0.417	0
6029270	0	5	2	0	1	0	0	0.343	0.17	1
6162892	0	2	3	0	1	5	0	0.187	0.906	0
955792	0	5	3	0	1	0	4	0.552	0.749	0
1189838	0	4	3	0	1	1	0	0.9	0.198	0
5961490	0	5	2	0	1	0	0	1	0.423	0
9738298	0	5	4	0	1	0	0	0.93	0.247	0
1145928	0	5	3	0	1	0	1	0.315	0.47	0
7610837	0	2	26	0	1	0	0	0.705	0.679	0
5814974	0	3	3	0	1	0	0	0.918	0	0
1228334	0	6	3	0	1	1	1	0.152	0.224	0
4304113	0	3	6	0	1	0	0	0.268	0.575	0
5087968	0	3	4	0	1	0	0	0.123	0.244	0
3490241	0	3	7	0	1	0	0	0.111	0.493	0
9080291	0	5	4	0	1	0	0	0.239	0.27	0
3035489	0	5	4	0	1	0	0	0.693	0.497	1
3265105	0	3	3	0	1	0	0	0.536	0.47	0
3946310	0	5	4	0	1	0	0	0.336	0.143	1
8169489	1	3	4	0	1	0	1	0.606	0.167	1
5586787	0	3	5	0	1	0	1	0.795	0.368	0
4535850	0	4	5	0	1	0	3	0.59	0.487	0
1957979	0	3	3	0	1	0	1	0.762	0.498	0
2381581	0	6	4	0	1	0	15	0.949	0.85	0
3117794	0	6	3	0	1	0	1	1	0.803	0
6907038	0	6	6	0	1	0	0	0.685	0.738	1
4550804	0	4	3	0	1	0	3	0.267	0.506	0
7693346	0	4	7	10	1	0	2	0.734	0.126	0
8679344	0	4	3	0	1	0	1	0.748	0.187	0
6815079	0	4	3	0	1	0	0	0.822	0.348	0
1014567	0	5	4	0	1	0	0	0.171	0.025	0
2419457	0	6	5	0	1	0	20	1	0.251	1
4363677	0	4	4	0	1	0	4	0.16	0.733	0
7648718	0	5	3	0	1	0	0	0.967	0.726	0
5264854	0	5	4	0	1	0	0	1	0.186	0
8815021	0	4	3	0	1	0	0	0.932	0.381	0
8827012	0	7	4	0	1	0	0	0.213	0.644	0
5753692	0	4	3	0	1	0	0	0.824	0.37	0
1153063	0	5	3	2	1	0	0	0.435	0.053	0
7839011	0	4	4	0	1	0	0	0.778	0.729	1
3852869	0	5	3	0	1	0	0	1	0.765	0
2221722	0	3	68	0	1	0	0	0.58	0.399	0
2338342	0	5	3	0	1	0	0	0.579	0.419	0
4306923	0	4	5	0	1	0	2	0.991	0.394	1
9373486	0	5	3	0	1	0	0	1	0.507	0
3572101	0	5	5	0	1	0	0	0.982	0.069	0
422806	0	4	2	0	1	4	18	0.823	0.194	0
9353934	0	6	4	0	1	0	0	1	0.303	0
9473151	0	4	8	0	1	0	0	0.057	0.521	1
9171366	0	2	1	0	1	11	6	0.608	0.508	0
7361016	0	5	3	0	1	0	0	1	0.557	1
8249696	0	6	4	0	1	0	0	0.843	0.268	0
242920	0	3	3	0	0	0	0	0.673	0.59	0
2452614	0	4	2	0	1	0	0	0.946	0.061	0
2447773	0	5	3	0	1	0	4	1	0.368	0
3438122	0	5	4	0	1	0	0	0.749	0.211	0
6860269	0	6	3	0	1	0	0	0.985	0.339	0
9470119	0	5	4	0	1	0	2	1	0.151	0
3505044	0	5	3	0	1	0	0	0.262	0.187	0
6524319	0	5	3	0	1	0	0	0.922	0.443	0
7135998	0	4	2	0	1	0	1	0.916	0.775	0
75136	0	6	4	0	1	0	1	1	0.784	0
7628018	0	4	3	0	1	0	0	1	0.382	0
8947125	0	4	4	0	1	0	0	0.595	0.527	0
292826	0	3	3	0	1	0	0	0.925	0.416	0
6257922	0	3	71	0	0	0	0	0	0	0
2112901	0	5	3	0	1	0	16	0.787	0.449	0
4812388	0	6	4	0	1	0	0	0.933	0.241	0
1794633	0	5	3	0	1	0	1	0.217	0.415	0
6175537	0	6	4	0	1	0	0	0.964	0.361	0
1313210	0	5	3	0	1	0	0	0.896	0.55	1
3781890	0	6	3	0	1	0	1	0.619	0.512	0
5033321	0	6	4	0	1	0	0	0.705	0.044	0
2639908	0	1	68	0	0	0	0	0.162	0.582	0
2284324	0	4	3	0	1	0	2	0.891	0.273	1
5746852	0	3	3	0	1	0	0	0.454	0.297	0
8726823	0	6	3	0	1	0	0	1	0.293	0
5474498	0	6	3	0	1	0	0	0.628	0.061	0
5355349	0	5	4	0	1	0	0	0.059	0.231	0
4593521	0	4	2	0	1	0	0	0.122	0.102	0
1598221	0	4	3	0	1	0	0	0.065	0.436	0
9003034	0	4	5	0	1	0	2	0.628	0.481	0
4947731	0	5	3	0	1	0	9	0.948	0.556	0
4570773	0	2	3	0	1	0	0	0.658	0.393	0
8363832	0	5	4	0	1	0	0	0.893	0.188	1
1564111	0	5	3	0	1	0	0	0.752	0.546	0
2765980	0	5	3	0	1	0	5	0.17	0.217	1
2034756	0	4	3	0	1	0	0	0.257	0.218	0
2465418	0	5	4	0	1	0	0	0.466	0.406	0
1515748	0	4	3	0	1	0	0	0.058	0.197	0
3911760	0	6	3	0	1	0	0	0.545	0.467	0
396824	0	4	3	0	1	0	0	0.813	0.056	0
9681684	0	5	3	0	1	0	0	0.2	0.268	0
3292524	0	2	4	0	1	0	0	0.888	0.543	0
2675715	0	4	3	0	1	0	0	0.583	0.502	0
4904696	0	3	3	0	1	0	0	0.089	0.534	0
5273645	1	2	58	0	1	0	0	0	0	1
269497	0	5	4	0	1	1	2	0.331	0.295	0
1159817	0	5	8	0	1	0	0	0.904	0.611	0
9777344	0	6	4	0	1	0	0	0.046	0.155	0
8196663	0	4	4	0	1	0	0	0.287	0.375	0
7778205	0	5	4	0	1	1	0	0.613	0.684	0
6604658	0	5	6	0	1	2	0	1	0.52	0
6995178	0	6	3	0	1	5	2	1	0.795	0
7457163	0	2	4	0	1	0	0	0.263	0.455	0
7630915	0	5	2	0	1	0	0	0.066	0.5	1
1805651	0	4	4	0	0	0	0	0	0.119	0
2189996	0	6	3	0	1	0	0	0.416	0.276	0
3023904	0	5	4	0	1	0	7	1	0.681	1
6244270	0	3	3	0	1	1	12	0.456	0.893	0
2688543	0	2	2	0	1	0	0	0.103	0.402	0
8640479	0	4	3	5	1	0	0	0.828	0.392	0
4784855	0	5	3	0	1	0	7	0.867	0.733	0
7076130	0	4	3	0	1	0	0	0.992	0.351	1
449159	0	4	4	0	0	1	2	1	0.701	0
423979	0	6	3	0	1	0	0	0.491	0.116	0
